query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0002830000000004773
2,std,4,1,True,0.0003219999999997114
3,std,2,1,True,0.00010400000000032605
4,std,102387,10,True,2.0624519999999995
5,std,2,1,True,0.00015600000000048908
6,std,2,1,True,0.00017999999999940286
7,std,3,2,True,0.00018900000000066086
8,std,2,1,True,0.00011599999999933885
9,std,2,1,True,0.0001340000000000785
10,std,6,3,True,0.00047599999999992093
11,std,2,1,True,0.0001289999999993796
12,std,26,15,True,0.0008179999999997634
13,std,17,15,True,0.0008999999999996788
14,std,2,1,True,0.0001340000000000785
15,std,6,3,True,0.00022699999999975518
16,std,2,1,True,0.00013000000000040757
17,std,3,2,True,0.0002250000000003638
18,std,2,1,True,0.00012200000000017752
19,std,2,1,True,0.0001020000000000465
20,std,5,4,True,0.0003169999999999007
21,std,2,1,True,0.00012499999999970868
22,std,4,1,True,0.0006360000000000809
23,std,97865,12,True,1.7967709999999997
24,std,983932,2,True,17.473889
25,std,983956,15,True,17.324905000000005
26,std,2,1,True,0.00011699999999592592
27,std,2,1,True,0.00010199999999827014
28,std,6,4,True,0.00048699999999968213
29,std,2,1,True,0.00011300000000602495
30,std,5,3,True,0.0002990000000053783
31,std,119003,1,True,1.7447110000000023
32,std,3,2,True,0.00021799999999672082
33,std,18,15,True,0.0012459999999947513
34,std,2,1,True,0.00011199999999433885
35,std,3,2,True,0.00019400000000047157
36,std,4,2,True,0.00019399999999336615
37,std,119003,1,True,1.748857000000001
38,std,43473,6,True,0.749327000000001
39,std,3,2,True,0.00018599999999935335
40,std,210243,4,True,3.979911999999999
41,std,2,1,True,0.0001260000000016248
42,std,2,1,True,0.00013299999999816237
43,std,4,1,True,0.00013600000000479895
44,std,229531,9,True,4.2912000000000035
45,std,3,2,True,0.0002059999999985962
46,std,3,2,True,0.00017100000000169757
47,std,218807,4,True,4.115496
48,std,4,2,True,0.0003370000000018081
49,std,218807,4,True,4.131813000000001
50,std,983955,15,True,17.344179000000004
51,std,3,2,True,0.0002329999999943766
52,std,2,1,True,0.00010400000000743148
53,std,2,1,True,0.00010199999999827014
54,std,26,15,True,0.0012210000000010268
55,std,3,2,True,0.00018999999998925432
56,std,3,2,True,0.00017200000000627824
57,std,4,1,True,0.00015000000000497948
58,std,2,1,True,0.0001469999999983429
59,std,6,3,True,0.00021300000000223918
60,std,2,1,True,0.00011800000000050659
61,std,41520,6,True,0.7209079999999943
62,std,3,2,True,0.00019599999998831663
63,std,4,1,True,0.00015199999999992997
64,std,210243,4,True,3.9792090000000115
65,std,26,15,True,0.0006549999999947431
66,std,6,3,True,0.00023799999999596366
67,std,571386,2,True,8.97994
68,std,4,1,True,0.00015700000000151704
69,std,2,1,True,0.00010400000000743148
70,std,41520,6,True,0.7171570000000003
71,std,6,3,True,0.0002660000000105356
72,std,210243,4,True,3.9886180000000024
73,std,2,1,True,0.0001409999999992806
74,std,93683,5,True,1.7302150000000012
75,std,4,2,True,0.00029400000001089666
76,std,983932,2,True,17.296334
77,std,2,1,True,0.00012499999999704414
78,std,19,15,True,0.0014079999999978554
79,std,3,2,True,0.000217000000006351
80,std,26,15,True,0.00028700000000014825
81,std,219228,7,True,4.133373999999989
82,std,983955,15,True,17.348133999999988
83,std,5,3,True,0.00039400000000000546
84,std,2,1,True,0.00012099999997872146
85,std,3,2,True,0.00016600000000721593
86,std,2,1,True,0.00011900000001219269
87,std,2,1,True,9.399999999004649e-05
88,std,97654,15,True,1.7497079999999983
89,std,2,1,True,0.00012000000000966793
90,std,219242,15,True,4.124515000000002
91,std,211247,11,True,4.0024290000000065
92,std,93683,5,True,1.7428989999999942
93,std,2,1,True,0.00012100000000714317
94,std,5,4,True,0.00031300000000555883
95,std,17,15,True,0.0014030000000104792
96,std,219242,15,True,4.126780999999994
97,std,2,1,True,0.0001560000000040418
98,std,5,3,True,0.00013000000001284207
99,std,983932,2,True,17.36315300000001
100,std,2,1,True,0.00011400000002481647
