query,std reasoner,std nodes explored,std min depth,success,time
1,std,1000000,0,False,51.902092999999994
2,std,2,1,True,0.0003609999999980573
3,std,1000000,0,False,49.048255
4,std,1000000,0,False,78.189208
5,std,2,1,True,0.00043700000000512773
6,std,2,1,True,0.0003260000000011587
7,std,1000000,0,False,43.45002200000002
8,std,1000000,0,False,49.02203400000002
9,std,1000000,0,False,47.86391099999997
10,std,2,1,True,0.00035900000000310683
11,std,1000000,0,False,49.290728
12,std,1000000,0,False,77.56721099999999
13,std,1000000,0,False,79.42989499999999
14,std,1000000,0,False,52.02563399999997
15,std,1000000,0,False,49.53092800000002
16,std,1000000,0,False,78.67558000000008
17,std,1000000,0,False,50.161455000000046
18,std,1000000,0,False,77.4598850000001
19,std,1000000,0,False,50.73192699999993
20,std,2,1,True,0.0004040000000031796
21,std,1000000,0,False,49.79793700000005
22,std,1000000,0,False,66.001349
23,std,2,1,True,0.0003209999999853608
24,std,1000000,0,False,86.85761700000012
25,std,1000000,0,False,51.46526300000005
26,std,1000000,0,False,77.745946
27,std,2,1,True,0.00032399999986409966
28,std,2,1,True,0.0003040000001419685
29,std,2,1,True,0.0003000000001520675
30,std,1000000,0,False,74.55567100000007
31,std,1000000,0,False,51.6493539999999
32,std,1000000,0,False,76.78358900000012
33,std,2,1,True,0.00036199999999553256
34,std,2,1,True,0.0003339999998388521
35,std,1000000,0,False,51.68852199999992
36,std,1000000,0,False,78.0341249999999
37,std,1000000,0,False,52.96677199999999
38,std,1000000,0,False,50.18967599999996
39,std,2,1,True,0.0003560000000106811
40,std,1000000,0,False,50.07603700000004
41,std,2,1,True,0.0003320000000712753
42,std,1000000,0,False,65.53417800000011
43,std,1000000,0,False,53.60504300000002
44,std,1000000,0,False,50.88215300000002
45,std,1000000,0,False,78.3035490000002
46,std,1000000,0,False,79.09205799999995
47,std,1000000,0,False,53.05110599999989
48,std,1000000,0,False,77.85537400000021
49,std,2,1,True,0.0003560000000106811
50,std,1000000,0,False,74.86057000000028
51,std,2,1,True,0.0003430000001571898
52,std,2,1,True,0.0003310000001874869
53,std,2,1,True,0.0003219999998691492
54,std,2,1,True,0.00036399999999048305
55,std,1000000,0,False,51.69844000000012
56,std,1000000,0,False,77.0078840000001
57,std,1000000,0,False,75.08680499999991
58,std,2,1,True,0.0003700000002027082
59,std,2,1,True,0.00038799999992988887
60,std,1000000,0,False,74.55510099999992
61,std,2,1,True,0.0003629999996519473
62,std,2,1,True,0.00036300000010669464
63,std,1000000,0,False,51.721182999999655
64,std,1000000,0,False,49.42225899999994
65,std,1000000,0,False,76.83425699999998
66,std,1000000,0,False,75.99518099999977
67,std,1000000,0,False,75.58679399999983
68,std,1000000,0,False,75.77282699999978
69,std,1000000,0,False,49.82235500000024
70,std,2,1,True,0.0003729999998540734
71,std,1000000,0,False,49.235915000000205
72,std,2,1,True,0.00034800000003087916
73,std,1000000,0,False,49.560477999999875
74,std,1000000,0,False,49.369236
75,std,2,1,True,0.0004079999998793937
76,std,1000000,0,False,49.519401000000016
77,std,1000000,0,False,77.05623699999978
78,std,2,1,True,0.00040499999977328116
79,std,1000000,0,False,60.77153300000009
80,std,2,1,True,0.0003430000001571898
81,std,1000000,0,False,53.51117299999987
82,std,1000000,0,False,79.35993800000006
83,std,1000000,0,False,52.614110999999866
84,std,1000000,0,False,50.50772599999982
85,std,2,1,True,0.0004060000001118169
86,std,1000000,0,False,78.47817400000031
87,std,1000000,0,False,51.25829399999975
88,std,1000000,0,False,50.386585000000196
89,std,1000000,0,False,50.375054999999975
90,std,1000000,0,False,49.97580599999992
91,std,1000000,0,False,49.68307000000004
92,std,1000000,0,False,49.83023000000003
93,std,2,1,True,0.00039199999991978984
94,std,2,1,True,0.00036300000010669464
95,std,1000000,0,False,77.85829199999989
96,std,1000000,0,False,76.44085399999994
97,std,1000000,0,False,80.20667800000001
98,std,1000000,0,False,52.22082399999999
99,std,1000000,0,False,48.2946979999997
100,std,2,1,True,0.00033600000006117625
